Country;Bin Year;RRInc_min;Rrinc_max;Pop;Rrinc_diff;Rrinc_diff_p;Pop_diff_p
Argentina;1988;1107;22020;32;20913;1;1
Argentina;1993;741;16030;34;15289;0.731076364;1.0625
Argentina;1998;485;17145;36;16660;1.089672313;1.058823529
Argentina;2003;248;13374;38;13126;0.78787515;1.055555556
Argentina;2008;861;21743;40;20882;1.590888313;1.052631579
Austria;1988;6137;27312;8;21175;1;1
Austria;1993;4249;35860;8;31611;1.492845336;1
Austria;1998;4876;34065;8;29189;0.923381102;1
Austria;2003;5794;38755;8;32961;1.129226764;1
Austria;2008;5535;33355;8;27820;0.84402779;1
Bangladesh;1988;185;1091;100;906;1;1
Bangladesh;1993;197;1413;113;1216;1.342163355;1.13
Bangladesh;1998;203;1460;125;1257;1.033717105;1.10619469
Bangladesh;2003;231;1629;137;1398;1.112171838;1.096
Bangladesh;2008;247;1676;145;1429;1.022174535;1.058394161
Belgium;1988;3753;20652;10;16899;1;1
Belgium;1993;4307;28315;10;24008;1.42067578;1
Belgium;1998;4990;41538;10;36548;1.522325891;1
Belgium;2003;5016;34750;10;29734;0.81356025;1
Belgium;2008;4546;30173;11;25627;0.861875294;1.1
Bolivia;1988;461;6312;6;5851;1;1
Bolivia;1993;302;10453;7;10151;1.734917108;1.166666667
Bolivia;1998;121;11645;8;11524;1.13525761;1.142857143
Bolivia;2003;62;10365;9;10303;0.894047206;1.125
Bolivia;2008;116;11131;10;11015;1.069106086;1.111111111
Brazil;1988;196;15081;144;14885;1;1
Brazil;1993;143;12854;157;12711;0.853946926;1.090277778
Brazil;1998;204;17473;169;17269;1.358587051;1.076433121
Brazil;2003;192;15627;182;15435;0.893798135;1.076923077
Brazil;2008;346;18498;192;18152;1.176028507;1.054945055
Bulgaria;1988;2829;12424;9;9595;1;1
Bulgaria;1993;1572;7516;8;5944;0.619489317;0.888888889
Bulgaria;1998;842;4244;8;3402;0.572341857;1
Bulgaria;2003;856;5879;8;5023;1.476484421;1
Bulgaria;2008;1077;7280;8;6203;1.234919371;1
Canada;1988;3832;34682;27;30850;1;1
Canada;1993;4059;34982;29;30923;1.002366288;1.074074074
Canada;1998;4047;38148;30;34101;1.1027714;1.034482759
Canada;2003;4195;42439;32;38244;1.121492038;1.066666667
Canada;2008;4005;56054;33;52049;1.360971656;1.03125
Chile;1988;344;13336;13;12992;1;1
Chile;1993;531;16841;14;16310;1.255387931;1.076923077
Chile;1998;609;21895;15;21286;1.305088903;1.071428571
Chile;2003;677;22215;16;21538;1.011838767;1.066666667
Chile;2008;906;25336;17;24430;1.134274306;1.0625
China;1988;448;2553;1102;2105;1;1
China;1993;501;3271;1178;2770;1.315914489;1.068965517
China;1998;602;4653;1242;4051;1.462454874;1.054329372
China;2003;703;6215;1288;5512;1.360651691;1.037037037
China;2008;1001;9776;1325;8775;1.591981132;1.028726708
Colombia;1988;340;11476;32;11136;1;1
Colombia;1993;339;11591;35;11252;1.010416667;1.09375
Colombia;1998;86;11457;38;11371;1.010575898;1.085714286
Colombia;2003;68;9199;42;9131;0.803007651;1.105263158
Colombia;2008;196;13660;45;13464;1.474537291;1.071428571
Costa Rica;1988;147;8095;3;7948;1;1
Costa Rica;1993;292;9747;3;9455;1.189607448;1
Costa Rica;1998;480;11899;4;11419;1.207720783;1.333333333
Costa Rica;2003;377;14225;4;13848;1.212715649;1
Costa Rica;2008;645;17163;5;16518;1.192807626;1.25
Cote d'Ivoire;1988;336;3386;12;3050;1;1
Cote d'Ivoire;1993;313;3026;14;2713;0.889508197;1.166666667
Cote d'Ivoire;1998;246;3736;16;3490;1.28639882;1.142857143
Cote d'Ivoire;2003;238;4799;17;4561;1.306876791;1.0625
Cote d'Ivoire;2008;235;3339;19;3104;0.68055251;1.117647059
Czech Republic;1988;3113;10449;10;7336;1;1
Czech Republic;1993;2386;12153;10;9767;1.331379498;1
Czech Republic;1998;2568;13488;10;10920;1.118050578;1
Czech Republic;2003;2544;14860;10;12316;1.127838828;1
Czech Republic;2008;2663;14478;10;11815;0.959321208;1
Denmark;1988;4024;27387;5;23363;1;1
Denmark;1993;4119;25347;5;21228;0.908616188;1
Denmark;1998;3245;26359;5;23114;1.088844922;1
Denmark;2003;5674;29650;5;23976;1.037293415;1
Denmark;2008;5633;31321;5;25688;1.071404738;1
Dominican Republic;1988;233;6091;7;5858;1;1
Dominican Republic;1993;440;11462;8;11022;1.881529532;1.142857143
Dominican Republic;1998;434;12537;8;12103;1.098076574;1
Dominican Republic;2003;376;11793;9;11417;0.943319838;1.125
Dominican Republic;2008;507;11587;10;11080;0.970482614;1.111111111
Ecuador;1988;235;8778;10;8543;1;1
Ecuador;1993;164;9385;11;9221;1.079363221;1.1
Ecuador;1998;147;7683;12;7536;0.817264939;1.090909091
Ecuador;2003;217;10712;13;10495;1.39264862;1.083333333
Ecuador;2008;348;11996;14;11648;1.109861839;1.076923077
Egypt, Arab Rep.;1988;466;3236;54;2770;1;1
Egypt, Arab Rep.;1993;491;3057;60;2566;0.926353791;1.111111111
Egypt, Arab Rep.;1998;522;3815;65;3293;1.283320343;1.083333333
Egypt, Arab Rep.;2003;520;3729;71;3209;0.974491345;1.092307692
Egypt, Arab Rep.;2008;542;3637;78;3095;0.964474914;1.098591549
El Salvador;1988;87;7257;5;7170;1;1
El Salvador;1993;259;9036;6;8777;1.224128312;1.2
El Salvador;1998;90;9556;6;9466;1.078500627;1
El Salvador;2003;138;8911;6;8773;0.926790619;1
El Salvador;2008;407;9208;6;8801;1.003191611;1
Finland;1988;4095;17806;5;13711;1;1
Finland;1993;4667;20764;5;16097;1.174020859;1
Finland;1998;4408;24764;5;20356;1.264583463;1
Finland;2003;4972;29930;5;24958;1.22607585;1
Finland;2008;4874;29462;5;24588;0.985175094;1
France;1988;2437;26635;58;24198;1;1
France;1993;3819;34649;59;30830;1.274072237;1.017241379
France;1998;4018;30410;60;26392;0.856049303;1.016949153
France;2003;4635;36281;62;31646;1.199075477;1.033333333
France;2008;5138;43111;64;37973;1.199930481;1.032258065
Germany;1988;5114;31358;78;26244;1;1
Germany;1993;4288;31593;81;27305;1.040428288;1.038461538
Germany;1998;3857;31690;82;27833;1.019337118;1.012345679
Germany;2003;5370;41090;83;35720;1.283368663;1.012195122
Germany;2008;5086;38001;82;32915;0.921472564;0.987951807
Greece;1988;2634;23636;10;21002;1;1
Greece;1993;2903;24721;10;21818;1.038853443;1
Greece;1998;2055;21710;11;19655;0.900861674;1.1
Greece;2003;2361;24898;11;22537;1.146629356;1
Greece;2008;2645;24353;11;21708;0.963216045;1
